timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1627750582539,7195,Press Release,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,41752,165,20,20,https://testml.gr.sunstar.com/newsroom/press-releases/20191106113682/,7116,0,555
1627750583357,7156,Press Release,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-2,text,true,,41737,165,19,19,https://testml.gr.sunstar.com/newsroom/press-releases/20191106113682/,7025,0,54
1627750583357,7318,Press Release,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-3,text,true,,41737,165,18,18,https://testml.gr.sunstar.com/newsroom/press-releases/20191106113682/,7187,0,51
1627750586385,7050,Press Release,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-5,text,true,,41744,165,17,17,https://testml.gr.sunstar.com/newsroom/press-releases/20191106113682/,6916,0,112
1627750586383,7871,Press Release,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-6,text,true,,41744,165,16,16,https://testml.gr.sunstar.com/newsroom/press-releases/20191106113682/,7725,0,119
1627750586388,10300,Press Release,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-11,text,true,,41744,165,15,15,https://testml.gr.sunstar.com/newsroom/press-releases/20191106113682/,10222,0,119
1627750586385,10588,Press Release,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-9,text,true,,41737,165,14,14,https://testml.gr.sunstar.com/newsroom/press-releases/20191106113682/,10556,0,130
1627750586387,11570,Press Release,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-10,text,true,,41737,165,13,13,https://testml.gr.sunstar.com/newsroom/press-releases/20191106113682/,11484,0,127
1627750586384,14513,Press Release,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-7,text,true,,41744,165,12,12,https://testml.gr.sunstar.com/newsroom/press-releases/20191106113682/,14484,0,133
1627750587162,14531,Press Release,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-12,text,true,,41737,165,11,11,https://testml.gr.sunstar.com/newsroom/press-releases/20191106113682/,14498,0,37
1627750587162,17232,Press Release,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-13,text,true,,41737,165,10,10,https://testml.gr.sunstar.com/newsroom/press-releases/20191106113682/,17203,0,39
1627750587164,17446,Press Release,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-14,text,true,,41752,165,9,9,https://testml.gr.sunstar.com/newsroom/press-releases/20191106113682/,17373,0,39
1627750587301,18037,Press Release,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-15,text,true,,41751,165,8,8,https://testml.gr.sunstar.com/newsroom/press-releases/20191106113682/,17963,0,60
1627750587296,20608,Press Release,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-4,text,true,,41752,165,7,7,https://testml.gr.sunstar.com/newsroom/press-releases/20191106113682/,20528,0,68
1627750587297,21609,Press Release,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-17,text,true,,41745,165,6,6,https://testml.gr.sunstar.com/newsroom/press-releases/20191106113682/,21521,0,68
1627750587585,23873,Press Release,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-18,text,true,,41744,165,5,5,https://testml.gr.sunstar.com/newsroom/press-releases/20191106113682/,23791,0,47
1627750587583,23978,Press Release,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-20,text,true,,41745,165,4,4,https://testml.gr.sunstar.com/newsroom/press-releases/20191106113682/,23948,0,66
1627750587582,24541,Press Release,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-19,text,true,,41737,165,3,3,https://testml.gr.sunstar.com/newsroom/press-releases/20191106113682/,24513,0,68
1627750587585,26799,Press Release,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-16,text,true,,41752,165,2,2,https://testml.gr.sunstar.com/newsroom/press-releases/20191106113682/,26772,0,67
1627750614387,37,Press Release,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-16,text,true,,41720,165,2,2,https://testml.gr.sunstar.com/newsroom/press-releases/20191106113682/,36,0,32
1627750614425,42,Press Release,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-16,text,true,,41720,165,2,2,https://testml.gr.sunstar.com/newsroom/press-releases/20191106113682/,41,0,38
