timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1627052088368,4214,Press Release,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-3,text,true,,47039,165,20,20,https://testml.gr.sunstar.com/newsroom/press-releases/20191106113682/,4031,0,61
1627052088367,4221,Press Release,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-2,text,true,,47031,165,19,19,https://testml.gr.sunstar.com/newsroom/press-releases/20191106113682/,4052,0,63
1627052087517,5860,Press Release,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,47039,165,18,18,https://testml.gr.sunstar.com/newsroom/press-releases/20191106113682/,5647,0,572
1627052091391,3710,Press Release,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-5,text,true,,47038,165,17,17,https://testml.gr.sunstar.com/newsroom/press-releases/20191106113682/,3555,0,78
1627052091388,5069,Press Release,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-7,text,true,,47046,165,16,16,https://testml.gr.sunstar.com/newsroom/press-releases/20191106113682/,4882,0,84
1627052091389,5322,Press Release,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-6,text,true,,47038,165,15,15,https://testml.gr.sunstar.com/newsroom/press-releases/20191106113682/,5195,0,84
1627052091388,5508,Press Release,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-8,text,true,,47039,165,14,14,https://testml.gr.sunstar.com/newsroom/press-releases/20191106113682/,5365,0,102
1627052091394,6117,Press Release,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-9,text,true,,47031,165,13,13,https://testml.gr.sunstar.com/newsroom/press-releases/20191106113682/,5965,0,100
1627052091393,7546,Press Release,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-11,text,true,,47039,165,12,12,https://testml.gr.sunstar.com/newsroom/press-releases/20191106113682/,7449,0,99
1627052091391,8989,Press Release,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-10,text,true,,47038,165,11,11,https://testml.gr.sunstar.com/newsroom/press-releases/20191106113682/,8518,0,105
1627052091673,10365,Press Release,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-4,text,true,,47046,165,10,10,https://testml.gr.sunstar.com/newsroom/press-releases/20191106113682/,9951,0,50
1627052091669,10562,Press Release,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-13,text,true,,47067,165,9,9,https://testml.gr.sunstar.com/newsroom/press-releases/20191106113682/,10247,0,76
1627052091672,11173,Press Release,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-17,text,true,,47054,165,8,8,https://testml.gr.sunstar.com/newsroom/press-releases/20191106113682/,10867,0,71
1627052091669,13653,Press Release,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-14,text,true,,47054,165,7,7,https://testml.gr.sunstar.com/newsroom/press-releases/20191106113682/,13521,0,74
1627052091670,14721,Press Release,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-16,text,true,,47039,165,6,6,https://testml.gr.sunstar.com/newsroom/press-releases/20191106113682/,14485,0,72
1627052091957,15789,Press Release,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-15,text,true,,47047,165,5,5,https://testml.gr.sunstar.com/newsroom/press-releases/20191106113682/,15709,0,55
1627052091957,15916,Press Release,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-18,text,true,,47039,165,5,5,https://testml.gr.sunstar.com/newsroom/press-releases/20191106113682/,15805,0,54
1627052091959,15928,Press Release,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-20,text,true,,47046,165,5,5,https://testml.gr.sunstar.com/newsroom/press-releases/20191106113682/,15818,0,51
1627052107749,142,Press Release,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-15,text,true,,47030,165,5,5,https://testml.gr.sunstar.com/newsroom/press-releases/20191106113682/,29,0,24
1627052107875,56,Press Release,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-18,text,true,,47028,165,5,5,https://testml.gr.sunstar.com/newsroom/press-releases/20191106113682/,54,0,50
1627052107889,50,Press Release,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-20,text,true,,47022,165,5,5,https://testml.gr.sunstar.com/newsroom/press-releases/20191106113682/,48,0,42
1627052107892,64,Press Release,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-15,text,true,,47022,165,5,5,https://testml.gr.sunstar.com/newsroom/press-releases/20191106113682/,57,0,49
1627052107932,67,Press Release,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-18,text,true,,47030,165,5,5,https://testml.gr.sunstar.com/newsroom/press-releases/20191106113682/,65,0,60
1627052107940,73,Press Release,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-20,text,true,,47036,165,5,5,https://testml.gr.sunstar.com/newsroom/press-releases/20191106113682/,66,0,61
1627052107957,81,Press Release,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-15,text,true,,47036,165,5,5,https://testml.gr.sunstar.com/newsroom/press-releases/20191106113682/,79,0,59
1627052108000,50,Press Release,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-18,text,true,,47030,165,5,5,https://testml.gr.sunstar.com/newsroom/press-releases/20191106113682/,49,0,40
1627052108014,40,Press Release,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-20,text,true,,47030,165,5,5,https://testml.gr.sunstar.com/newsroom/press-releases/20191106113682/,39,0,35
1627052108039,51,Press Release,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-15,text,true,,47030,165,5,5,https://testml.gr.sunstar.com/newsroom/press-releases/20191106113682/,50,0,44
1627052108051,50,Press Release,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-18,text,true,,47030,165,5,5,https://testml.gr.sunstar.com/newsroom/press-releases/20191106113682/,47,0,42
1627052108055,50,Press Release,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-20,text,true,,47030,165,5,5,https://testml.gr.sunstar.com/newsroom/press-releases/20191106113682/,48,0,37
1627052108091,65,Press Release,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-15,text,true,,47030,165,5,5,https://testml.gr.sunstar.com/newsroom/press-releases/20191106113682/,63,0,54
1627052108106,53,Press Release,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-20,text,true,,47030,165,5,5,https://testml.gr.sunstar.com/newsroom/press-releases/20191106113682/,52,0,43
1627052108101,64,Press Release,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-18,text,true,,47036,165,5,5,https://testml.gr.sunstar.com/newsroom/press-releases/20191106113682/,63,0,54
1627052108157,42,Press Release,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-15,text,true,,47030,165,5,5,https://testml.gr.sunstar.com/newsroom/press-releases/20191106113682/,40,0,35
1627052108166,63,Press Release,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-18,text,true,,47038,165,5,5,https://testml.gr.sunstar.com/newsroom/press-releases/20191106113682/,62,0,55
1627052108160,71,Press Release,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-20,text,true,,47030,165,5,5,https://testml.gr.sunstar.com/newsroom/press-releases/20191106113682/,66,0,60
1627052108200,43,Press Release,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-15,text,true,,47036,165,5,5,https://testml.gr.sunstar.com/newsroom/press-releases/20191106113682/,41,0,36
1627052108244,54,Press Release,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-15,text,true,,47030,165,5,5,https://testml.gr.sunstar.com/newsroom/press-releases/20191106113682/,52,0,40
1627052108230,69,Press Release,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-18,text,true,,47030,165,5,5,https://testml.gr.sunstar.com/newsroom/press-releases/20191106113682/,61,0,55
1627052108232,58,Press Release,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-20,text,true,,47030,165,5,5,https://testml.gr.sunstar.com/newsroom/press-releases/20191106113682/,55,0,50
1627052108300,56,Press Release,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-18,text,true,,47036,165,5,5,https://testml.gr.sunstar.com/newsroom/press-releases/20191106113682/,54,0,48
1627052108301,78,Press Release,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-20,text,true,,47030,165,5,5,https://testml.gr.sunstar.com/newsroom/press-releases/20191106113682/,76,0,65
1627052108302,90,Press Release,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-15,text,true,,47030,165,5,5,https://testml.gr.sunstar.com/newsroom/press-releases/20191106113682/,88,0,82
1627052108365,57,Press Release,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-18,text,true,,47038,165,12,6,https://testml.gr.sunstar.com/newsroom/press-releases/20191106113682/,56,0,49
1627052108401,88,Press Release,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-15,text,true,,47030,165,14,12,https://testml.gr.sunstar.com/newsroom/press-releases/20191106113682/,84,0,80
1627052108381,124,Press Release,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-20,text,true,,47036,165,17,12,https://testml.gr.sunstar.com/newsroom/press-releases/20191106113682/,120,0,115
1627052108406,98,Press Release,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-21,text,true,,47030,165,17,12,https://testml.gr.sunstar.com/newsroom/press-releases/20191106113682/,96,0,87
1627052108423,128,Press Release,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-18,text,true,,47036,165,18,12,https://testml.gr.sunstar.com/newsroom/press-releases/20191106113682/,127,0,119
1627052108438,139,Press Release,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-24,text,true,,47030,165,18,16,https://testml.gr.sunstar.com/newsroom/press-releases/20191106113682/,133,0,127
1627052108436,166,Press Release,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-22,text,true,,47030,165,18,18,https://testml.gr.sunstar.com/newsroom/press-releases/20191106113682/,165,0,130
1627052108434,170,Press Release,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-23,text,true,,47030,165,18,18,https://testml.gr.sunstar.com/newsroom/press-releases/20191106113682/,133,0,128
1627052108482,125,Press Release,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-26,text,true,,47036,165,18,18,https://testml.gr.sunstar.com/newsroom/press-releases/20191106113682/,124,0,84
1627052108454,157,Press Release,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-25,text,true,,47030,165,18,18,https://testml.gr.sunstar.com/newsroom/press-releases/20191106113682/,156,0,111
1627052108505,113,Press Release,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-20,text,true,,47030,165,18,18,https://testml.gr.sunstar.com/newsroom/press-releases/20191106113682/,112,0,103
1627052108462,161,Press Release,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-27,text,true,,47030,165,18,18,https://testml.gr.sunstar.com/newsroom/press-releases/20191106113682/,159,0,150
1627052108489,134,Press Release,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-15,text,true,,47030,165,18,18,https://testml.gr.sunstar.com/newsroom/press-releases/20191106113682/,132,0,126
