timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1625754474319,4673,Press Release,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-2,text,true,,49941,165,20,20,https://testml.gr.sunstar.com/newsroom/press-releases/20191106113682/,4500,0,402
1625754475206,4037,Press Release,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,49933,165,19,19,https://testml.gr.sunstar.com/newsroom/press-releases/20191106113682/,3820,0,38
1625754479206,48,Press Release,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-6,text,true,,49932,165,18,18,https://testml.gr.sunstar.com/newsroom/press-releases/20191106113682/,46,0,36
1625754477206,3527,Press Release,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-7,text,true,,49949,165,17,17,https://testml.gr.sunstar.com/newsroom/press-releases/20191106113682/,3339,0,37
1625754481206,36,Press Release,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-3,text,true,,49932,165,16,16,https://testml.gr.sunstar.com/newsroom/press-releases/20191106113682/,32,0,26
1625754482044,43,Press Release,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-12,text,true,,49924,165,15,15,https://testml.gr.sunstar.com/newsroom/press-releases/20191106113682/,37,0,28
1625754482813,77,Press Release,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-11,text,true,,49930,165,14,14,https://testml.gr.sunstar.com/newsroom/press-releases/20191106113682/,75,0,66
1625754482813,88,Press Release,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-13,text,true,,49930,165,13,13,https://testml.gr.sunstar.com/newsroom/press-releases/20191106113682/,87,0,63
1625754485106,58,Press Release,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-15,text,true,,49924,165,12,12,https://testml.gr.sunstar.com/newsroom/press-releases/20191106113682/,55,0,50
1625754485401,32,Press Release,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-5,text,true,,49924,165,11,11,https://testml.gr.sunstar.com/newsroom/press-releases/20191106113682/,30,0,26
1625754485871,56,Press Release,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-4,text,true,,49924,165,10,10,https://testml.gr.sunstar.com/newsroom/press-releases/20191106113682/,52,0,45
1625754485871,67,Press Release,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-18,text,true,,49924,165,10,10,https://testml.gr.sunstar.com/newsroom/press-releases/20191106113682/,48,0,43
1625754485925,33,Press Release,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-8,text,true,,49924,165,10,10,https://testml.gr.sunstar.com/newsroom/press-releases/20191106113682/,31,0,27
1625754486008,37,Press Release,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-9,text,true,,49924,165,10,10,https://testml.gr.sunstar.com/newsroom/press-releases/20191106113682/,35,0,27
